Grade,Strand,Anchor Standard,Code,Benchmark
6,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",6.1.8.1,"Analyze the impact of a specific word choice, and rhythm or meter, on the meaning and tone of a story, poem or song (word choice analysis including, but not limited to, vocabulary, assonance, consonance and rhyme)."
6,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",6.1.8.2,Examine academic and technical vocabulary in informational text through study of word origins (morphology and etymology) and use of reference tools.
6,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",6.1.9.1,"Access and make choices about information from a variety of sources, representing diverse perspectives, articulating how understanding is impacted by format/mode of information."
6,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",6.1.9.2,"Evaluate perspective, credibility and relevancy of sources related to task and purpose."
6,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",6.2.1.1,"Use correct punctuation (including dashes, hyphens and ellipses), spelling, capitalization and grammar authentically in writing."
6,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",6.2.1.2,Apply spelling patterns and rules to spell words with Greek word origin authentically in writing.
6,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",6.2.1.3,"Use nouns, verbs (correctly using verb tense), adjectives, adverbs and pronouns in sentences authentically in writing, building on skills from previous years."
6,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",6.2.2.1,"Write routinely for a range of tasks (e.g., personal interest, enjoyment, academic tasks), purposes and audiences, choosing topics and format."
6,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",6.2.2.2,"Write to reflect how personal perspective, identity and voice have developed over time."
6,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",6.2.3.1,Plan and draft multiple pieces; self-select pieces to take through the writing process and methods for revision; edit and publish.
6,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",6.2.3.2,"Vary word choice, showing understanding of denotation and connotation, phrases, and sentence structures as applicable to context, to convey ideas precisely and engage intended audience."
6,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",6.2.4.1,"Write to argue, articulating both an argument and a counter-argument, building on skills from previous years."
6,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",6.2.4.2,"Write to persuade, employing emotional strategies (e.g., manipulation, motivation, inspiration) and articulating benefits of the strategies used, building on skills from previous years."
6,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",6.2.5.1,"Write to inform or explain, introducing diverse perspectives, including Dakota and Anishinaabe perspectives, about a topic, using precise, domain-specific vocabulary, and utilize organization strategies common in a variety of text structures, building on skills from previous years (e.g., description, classification, cause/effect, comparison/contrast, problem/solution, proposition/support, critique, inductive/reductive)."
6,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",6.2.5.2,"Write to respond to a literary text, demonstrating understanding of character complexity (e.g., writing personal reactions, analysis, and interpretation of text)."
6,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",6.2.6.1,"Write to create, portraying complexity in characters or self-expression in various literary forms (e.g., complex emotions, motivations, experiences and characters who change over time)."
6,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",6.2.6.2,"Use dialogue and sensory detail to support development of literary elements, and use structure appropriate to chosen style and tone, in written narratives, poetry or other creative text."
6,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,6.2.7.1,Formulate self-generated questions that guide inquiry and refocus inquiry when appropriate.
6,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,6.2.7.2,"Plan and conduct independent research from a variety of sources that represent varying perspectives; evaluate credibility and relevance of information, avoiding plagiarism, and share findings in writing."
6,Writing,"W8 Media Literacy in Writing: Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",6.2.8.1,"Use and cite a variety of print and digital sources, paraphrasing in addition to quoting and summarizing, avoiding plagiarism."
6,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",6.3.1.1,"Exchange ideas through storytelling, discussion and collaboration, intentionally considering the Dakota and Anishinaabe people as well as other perspectives like and unlike their own.
a.       Use tools to collaborate with others synchronously and asynchronously.
b.       Cooperate, mediate and problem solve to make decisions as appropriate for productive group discussion."
6,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",6.3.1.2,"Ask and respond to questions, both prepared in advance and in response to comments of others, demonstrating preparation for the discussion."
6,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",6.3.1.3,"Adapt speech, writing or communications by utilizing constructive feedback from self and others."
6,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 2 Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",6.3.2.1,"Use vocabulary, language, structure and features of spoken language to communicate ideas precisely in a variety of forms, including digital and face-to-face interactions, considering audience and context."
6,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",6.3.3.1,"Communicate claims and findings, sequencing ideas logically, including relevant facts and descriptive details to support central ideas or themes, in a variety of presentation styles, following ethical and safe communication practices."
6,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",6.3.3.2,"Create and share, individually or in a collaborative group, an informative multi-media work or digital communication, choosing tools to meet the task, purpose and audience, demonstrating understanding of digital footprint. *"
7,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",7.1.2.1,"Read independently and self-monitor understanding of grade-level text; independently annotate learning, applying strategies when meaning breaks down, including, but not limited to, making predictions, recalling purpose of reading, and activating prior knowledge to confirm understanding."
7,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",7.1.2.2,"At grade 7 text complexity, select and proficiently read and comprehend texts that address academic tasks."
7,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",7.1.2.3,"Locate, select and read texts representing multiple perspectives and identities like and unlike their own, demonstrating skill in identifying perspective of text and searching for alternate perspectives on the subject of the text."
7,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,7.1.3.1,"Choose and read texts that address the purpose (e.g., personal interest, enjoyment, academic tasks), representing perspectives and identities of historical and contemporary Dakota and Anishinaabe people."
7,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",7.1.4.1,Cite several pieces of textual evidence to support conclusions of what a text says explicitly as well as inferences drawn from the text; objectively summarize the text.
7,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",7.1.4.2,Analyze how the themes or central ideas develop over the course of a single text.
7,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",7.1.4.3,"Analyze the interactions between characters, settings, events or ideas in literary text."
7,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",7.1.4.4,"Analyze the interactions between individuals, events or concepts in informational text."
7,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,7.1.5.1,"Analyze how the sequence of events is told and developed in a story, drama or poem to contribute to its meaning."
7,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,7.1.5.2,"Analyze the informational text structure (including, but not limited to, compare/contrast, cause/effect and problem/solution) used, including how the major sections contribute to the whole and to the development of ideas."
7,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,7.1.5.3,"Interpret, integrate, evaluate and apply the ideas/information conveyed through illustrations, graphics and other audiovisual elements for accuracy, perspective, credibility and relevance of information."
7,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",7.1.6.1,"Analyze how an author, including Dakota and Anishinaabe authors, uses his, her or their stated identity to establish credibility with the reader on an issue or topic."
7,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",7.1.6.2,"Compare and contrast a fictional portrayal, including those in stories, poems and historical novels about Dakota and Anishinaabe people, of a time, place or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history."
7,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",7.1.6.3,"Analyze how two or more authors writing about the same topic, including topics about Dakota and Anishinaabe people, shape their presentations of key information by emphasizing different evidence or advancing different interpretations of facts."
7,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,7.1.7.1,"Determine the argument and specific claims in a text, assessing whether the evidence is sufficient to support the claims."
7,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",7.1.8.1,"Determine the meaning of words and phrases as they are used in a literary text, including figurative and connotative meanings."
7,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",7.1.8.2,"Analyze the impact of specific word choices on meaning and tone in academic, technical and domain-specific text."
7,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",7.1.9.1,"Access and evaluate information from a variety of sources, representing diverse perspectives on a topic."
7,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",7.1.9.2,"Evaluate perspective, credibility, relevancy and sufficiency of sources related to task and purpose."
7,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",7.2.1.1,"Consistently write and edit work for correct punctuation, spelling, capitalization and grammar."
7,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",7.2.1.2,Apply knowledge of word study in spelling academic terms authentically in writing.
7,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",7.2.1.3,"Authentically in writing, use nouns, verbs, adjectives, adverbs and pronouns (including intensive pronouns), explain their function in sentences, and ensure subject-verb and pronoun-antecedent agreement in simple, compound, complex and compound-complex sentences."
7,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",7.2.2.1,"Write routinely for a range of tasks, purposes and audiences, choosing topics and format (e.g., personal interest, enjoyment, academic tasks)."
7,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",7.2.2.2,Write to reflect how personal perspective and identity have developed in relation to self and others.
7,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",7.2.3.1,"Plan and draft multiple pieces; self-select pieces to take through the writing process and methods for revision and editing (e.g., peer or self-editing, or using digital tools), and publish."
7,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",7.2.3.2,"Use words, phrases and sentence structures to establish consistency in voice, style and tone when writing, considering audience and context."
7,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",7.2.4.1,"Write to argue, providing and organizing evidence of both an argument and a counter-argument, building on skills from previous years."
7,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",7.2.4.2,"Write to persuade, articulating both a passionate opinion and strong facts that support the opinion, building on skills from previous years."
7,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",7.2.5.1,"Write to inform or explain, conveying ideas about a topic in two different ways to two different audiences, using precise, domain-specific vocabulary and utilizing organization strategies common in a variety of text structures, including consistent transitions to build cohesion and clarify relationships among ideas and concepts, building on skills from previous years."
